学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景,退学リスク,初任給,業界
0625,理,76,35,6,高,低,2834004,金融
0626,経済,90,41,9,低,低,4439432,金融
0627,理,68,33,7,低,低,2831609,IT
0628,経済,99,38,10,中,低,4439971,製造
0629,文,52,36,6,高,中,2529488,教育
0630,理,80,32,8,中,低,2873321,IT
0631,工,73,37,9,高,高,3946855,金融
0632,理,64,33,8,中,低,3013802,IT
0633,経済,85,39,10,低,低,4451742,金融
0634,理,75,30,5,低,低,2867932,教育
0635,工,80,33,7,中,高,4089411,IT
0636,文,57,38,7,低,中,2473088,製造
0637,経済,100,38,8,中,低,4438190,IT
0638,工,89,37,7,高,高,4032390,金融
0639,文,51,35,8,低,中,2443140,IT
0640,経済,97,42,9,高,低,4523097,製造
0641,理,68,31,7,低,低,3074443,教育
0642,理,65,30,7,高,低,3041172,金融
0643,工,80,35,9,高,高,3938044,製造
0644,理,71,31,7,高,低,3033525,教育
0645,理,99,31,6,低,低,2820800,金融
0646,理,66,37,9,低,低,3046032,IT
0647,経済,94,39,10,低,低,4481074,IT
0648,理,71,38,7,中,低,2878586,製造
0649,文,51,39,5,低,中,2546845,IT
0650,理,90,40,4,中,低,2960958,IT
0651,文,56,36,8,低,中,2568387,IT
0652,工,89,34,6,中,高,4076376,金融
0653,経済,95,38,7,高,低,4554375,IT
0654,工,89,36,7,中,高,4006227,教育
0655,理,95,32,9,中,低,2907536,IT
0656,理,81,39,6,中,低,3102098,教育
0657,工,75,36,8,低,高,4037484,製造
0658,文,69,37,7,中,中,2514068,金融
0659,経済,97,39,10,高,低,4553875,製造
0660,理,85,31,8,低,低,2885525,IT
0661,理,95,32,8,低,低,3110136,IT
0662,文,81,40,7,中,中,2456985,製造
0663,文,72,39,8,中,中,2518723,教育
0664,経済,90,42,9,低,低,4456759,金融
0665,理,75,35,7,低,低,2999664,IT
0666,工,80,38,7,高,高,4051454,IT
0667,理,85,34,4,低,低,3026654,教育
0668,文,55,37,5,低,中,2482079,教育
0669,経済,80,39,9,高,低,4590735,金融
0670,文,84,38,5,低,中,2584699,IT
0671,理,62,40,9,低,低,3024019,製造
0672,文,74,37,5,高,中,2502622,IT
0673,理,89,40,9,中,低,2888254,教育
0674,経済,87,38,8,低,低,4569426,金融
0675,理,69,34,7,低,低,3184687,教育
0676,理,77,32,4,中,低,2967681,IT
0677,文,80,38,7,高,中,2445265,教育
0678,文,50,40,7,高,中,2403813,IT
0679,経済,89,40,10,低,低,4558382,金融
0680,経済,90,40,7,高,低,4455931,IT
0681,文,59,36,6,高,中,2408946,IT
0682,文,86,37,6,中,中,2496794,教育
0683,理,76,33,9,高,低,2998110,教育
0684,文,62,36,5,中,中,2429159,金融
0685,理,93,34,6,中,低,3120957,金融
0686,文,80,35,8,高,中,2501093,教育
0687,文,65,35,6,低,中,2535872,教育
0688,文,74,40,5,低,中,2429868,IT
0689,文,76,38,6,低,中,2403040,教育
0690,文,78,40,8,中,中,2445713,IT
0691,文,78,39,7,高,中,2481960,教育
0692,文,90,36,8,中,中,2402882,教育
0693,理,68,32,5,低,低,2854412,教育
0694,経済,86,41,10,高,低,4468526,教育
0695,文,73,35,6,中,中,2446771,教育
0696,文,71,36,5,中,中,2411384,教育
0697,経済,89,40,10,中,低,4403752,教育
0698,経済,90,39,7,中,低,4588110,IT
0699,工,88,34,6,高,高,4090028,金融
0700,工,73,34,9,高,高,3920173,教育
0701,理,73,38,6,中,低,3022583,教育
0702,経済,89,38,9,高,低,4577069,金融
0703,経済,100,38,7,低,低,4540151,金融
0704,文,57,40,6,中,中,2506769,製造
0705,経済,100,42,7,低,低,4470373,製造
0706,工,83,36,6,低,高,4020008,IT
0707,文,50,40,7,高,中,2409910,金融
0708,経済,93,41,9,中,低,4501329,金融
0709,理,88,34,7,低,低,3053932,教育
0710,理,93,37,7,高,低,2956713,金融
0711,経済,92,38,10,低,低,4404176,製造
0712,文,89,35,6,中,中,2513047,教育
0713,工,87,35,9,高,高,4040428,金融
0714,工,91,37,9,高,高,3968707,IT
0715,文,79,39,5,高,中,2502712,IT
0716,文,86,37,7,高,中,2524150,金融
0717,工,71,38,7,高,高,3931662,教育
0718,文,85,39,5,中,中,2551508,製造
0719,経済,85,38,10,低,低,4519021,製造
0720,経済,82,41,9,低,低,4484389,教育
0721,経済,99,40,10,中,低,4452168,教育
0722,文,50,38,8,低,中,2531808,製造
0723,経済,100,41,7,高,低,4497122,教育
0724,経済,91,41,9,低,低,4452060,金融
0725,理,95,30,8,高,低,2881815,金融
0726,理,73,34,8,低,低,2906204,金融
0727,経済,82,39,9,高,低,4516310,教育
0728,理,96,39,4,高,低,3059865,金融
0729,工,81,34,8,中,高,4042620,金融
0730,理,86,39,5,高,低,2975323,IT
0731,理,68,36,4,低,低,3047875,IT
0732,文,79,36,5,高,中,2558578,金融
0733,工,92,36,7,高,高,3937805,IT
0734,理,84,31,4,高,低,2832929,製造
0735,経済,99,40,9,中,低,4441653,IT
0736,理,84,32,6,中,低,3010278,IT
0737,理,71,35,4,中,低,2879637,教育
0738,工,72,33,6,低,高,4006580,製造
0739,文,57,39,5,高,中,2500217,IT
0740,理,63,33,5,高,低,3132016,金融
0741,理,99,32,7,中,低,3030937,IT
0742,文,57,40,7,高,中,2562439,IT
0743,工,94,36,8,高,高,4026401,製造
0744,工,82,37,6,低,高,4000731,教育
0745,理,92,30,7,低,低,2922687,IT
0746,経済,81,39,7,中,低,4442756,IT
0747,文,90,36,5,低,中,2462041,教育
0748,工,82,36,7,中,高,4054189,製造
0749,経済,83,40,7,低,低,4428751,製造
0750,文,64,35,5,中,中,2444229,IT
0751,文,88,35,7,高,中,2414577,金融
0752,工,81,38,8,中,高,3908832,教育
0753,文,89,35,5,中,中,2587443,製造
0754,経済,98,42,8,中,低,4499223,金融
0755,文,84,40,7,中,中,2476696,教育
0756,理,76,39,8,高,低,3114936,教育
0757,工,94,33,8,低,高,3918770,製造
0758,工,74,34,9,低,高,4004976,教育
0759,文,62,39,8,中,中,2458263,金融
0760,理,98,33,7,中,低,2884736,教育
0761,経済,100,42,9,高,低,4469774,IT
0762,理,93,34,7,高,低,3136308,製造
0763,理,88,32,9,高,低,3080613,製造
0764,経済,94,41,9,中,低,4508818,教育
0765,文,78,37,5,高,中,2480208,IT
0766,工,74,33,7,低,高,4001467,金融
0767,理,98,37,5,中,低,3027179,IT
0768,経済,80,38,8,高,低,4578845,IT
0769,文,89,36,6,中,中,2529100,金融
0770,文,65,40,8,高,中,2514239,教育
0771,理,84,35,5,中,低,3000986,製造
0772,文,74,36,5,高,中,2525192,IT
0773,工,90,37,9,高,高,3903434,金融
0774,理,87,31,5,中,低,2816929,教育
0775,理,73,40,7,中,低,2956307,教育
0776,経済,91,41,8,中,低,4443542,IT
0777,工,78,34,6,低,高,4081153,教育
0778,経済,99,39,7,高,低,4583118,製造
0779,文,64,37,7,中,中,2551204,IT
0780,経済,94,42,10,中,低,4411837,IT
0781,理,73,32,5,低,低,3045589,金融
0782,経済,85,39,7,高,低,4534686,製造
0783,工,72,34,7,高,高,4097540,金融
0784,文,55,36,6,低,中,2545623,教育
0785,経済,88,42,10,高,低,4575967,金融
0786,理,74,40,5,高,低,3171415,IT
0787,経済,95,42,9,低,低,4445636,金融
0788,理,67,36,9,中,低,2827853,製造
0789,文,51,40,6,高,中,2484902,教育
0790,理,83,38,7,低,低,2966479,金融
0791,文,76,35,5,中,中,2403231,IT
0792,工,72,37,9,中,高,3993600,金融
0793,文,80,39,7,中,中,2462637,IT
0794,文,81,39,8,低,中,2415285,教育
0795,理,100,30,9,低,低,2992921,IT
0796,工,89,37,6,低,高,4037319,教育
0797,工,95,36,6,低,高,4035289,製造
0798,工,73,34,6,中,高,3908941,教育
0799,文,65,35,7,低,中,2524162,教育
0800,理,90,31,4,低,低,2884078,IT
0801,理,96,39,9,中,低,2939821,製造
0802,工,86,34,7,中,高,4001884,製造
0803,経済,91,41,10,中,低,4447178,製造
0804,理,70,36,8,中,低,2811853,教育
0805,経済,91,42,7,低,低,4467686,IT
0806,経済,84,42,9,高,低,4521551,IT
0807,理,77,35,5,中,低,2975744,製造
0808,文,58,35,8,中,中,2563600,金融
0809,経済,83,38,8,中,低,4541783,IT
0810,工,86,38,8,低,高,3949843,金融
0811,理,78,40,6,低,低,2894773,金融
0812,工,78,34,8,高,高,4026389,IT
0813,工,90,37,7,低,高,3922869,教育
0814,理,91,39,5,低,低,3191101,金融
0815,文,72,38,6,低,中,2569526,製造
0816,工,88,36,6,低,高,4010644,IT
0817,理,88,30,8,中,低,2945125,製造
0818,理,61,36,8,中,低,2990886,製造
0819,経済,82,42,7,低,低,4516027,IT
0820,文,89,37,8,高,中,2593241,教育
0821,理,76,37,4,高,低,3142831,製造
0822,理,76,30,4,中,低,3007857,IT
0823,理,78,37,8,低,低,3152946,IT
0824,文,88,40,6,中,中,2562564,金融
0825,理,63,38,7,中,低,3170959,教育
0826,経済,81,39,10,高,低,4570020,IT
0827,文,89,36,7,高,中,2485893,IT
0828,経済,89,38,8,高,低,4580441,IT
0829,理,68,36,4,低,低,2867018,教育
0830,文,77,40,6,中,中,2468598,IT
0831,経済,94,38,8,中,低,4555880,金融
0832,理,67,33,6,低,低,2954436,教育
0833,工,90,33,7,高,高,3922818,金融
0834,工,86,37,6,中,高,4006914,IT
0835,工,94,37,8,高,高,3915814,教育
0836,経済,99,38,7,低,低,4542500,金融
0837,文,61,38,8,高,中,2469407,IT
0838,文,85,35,5,高,中,2408406,製造
0839,理,61,30,6,低,低,3027855,製造
0840,工,70,33,7,高,高,3956120,製造
0841,理,88,37,5,低,低,2997083,金融
0842,文,73,40,8,低,中,2475410,教育
0843,工,91,34,6,低,高,3951548,教育
0844,理,65,34,6,低,低,2890569,IT
0845,経済,97,41,10,高,低,4537203,製造
0846,工,74,34,7,低,高,4073351,IT
0847,工,92,37,7,低,高,4029955,教育
0848,理,99,33,5,低,低,2821712,製造
0849,経済,82,39,7,低,低,4460429,IT
0850,理,81,30,6,高,低,3030189,金融
0851,工,81,33,8,低,高,3911752,製造
0852,文,88,36,6,低,中,2442122,製造
0853,工,81,38,8,低,高,4049522,IT
0854,理,74,40,4,低,低,3099731,金融
0855,文,78,35,7,低,中,2576904,IT
0856,経済,96,39,9,中,低,4540672,製造
0857,理,63,37,4,低,低,3123456,教育
0858,工,95,35,8,中,高,3913208,製造
0859,経済,92,39,10,高,低,4473196,IT
0860,理,98,36,5,高,低,2885438,教育
0861,文,59,40,7,低,中,2495670,金融
0862,経済,96,39,7,中,低,4528701,IT
0863,経済,96,38,7,中,低,4520134,製造
0864,文,78,38,5,低,中,2563794,金融
0865,理,99,33,8,高,低,2917516,IT
0866,工,94,33,7,高,高,4092692,教育
0867,理,95,35,8,高,低,2817407,金融
0868,経済,86,42,7,中,低,4567771,金融
0869,工,74,34,9,中,高,4092540,教育
0870,経済,87,38,8,中,低,4448338,IT
0871,工,80,38,7,中,高,3905679,製造
0872,理,99,34,7,中,低,2994716,IT
0873,理,66,36,4,中,低,2939008,金融
0874,経済,89,40,8,高,低,4489987,製造
0875,文,60,39,5,中,中,2535768,金融
0876,理,81,34,8,高,低,3098536,製造
0877,工,90,37,9,高,高,4086208,IT
0878,文,76,36,8,高,中,2499749,IT
0879,経済,82,38,9,低,低,4497644,金融
0880,文,71,36,7,高,中,2437907,教育
0881,経済,87,41,10,高,低,4586295,IT
0882,理,79,32,6,低,低,2907050,製造
0883,文,54,35,6,低,中,2409131,教育
0884,文,56,35,8,低,中,2573750,金融
0885,理,97,34,8,中,低,2948840,教育
0886,経済,87,41,10,中,低,4561586,金融
0887,経済,89,39,9,低,低,4443955,IT
0888,理,74,38,4,中,低,2906509,教育
0889,文,84,38,6,高,中,2440452,教育
0890,経済,91,40,10,高,低,4545409,IT
0891,工,86,37,6,高,高,4057142,金融
0892,工,73,36,8,中,高,4098938,金融
0893,理,100,35,8,低,低,3187317,IT
0894,工,87,37,9,中,高,4088254,教育
0895,工,76,36,9,中,高,3988261,金融
0896,工,90,35,9,高,高,4043967,製造
0897,理,63,35,9,高,低,3038836,製造
0898,経済,81,41,7,高,低,4487863,IT
0899,理,75,36,7,高,低,3140557,製造
0900,理,63,33,4,高,低,2824231,製造
0901,理,95,37,6,中,低,2881957,製造
0902,工,89,38,7,中,高,3956455,IT
0903,理,64,31,7,低,低,2805078,金融
0904,経済,96,41,8,中,低,4571813,IT
0905,理,66,35,4,高,低,3002042,IT
0906,理,67,30,4,高,低,2983740,IT
0907,工,92,35,9,中,高,4095221,製造
0908,工,72,38,9,低,高,4061429,IT
0909,工,86,34,6,高,高,4028681,金融
0910,文,84,36,6,高,中,2460495,IT
0911,経済,92,42,8,低,低,4415714,IT
0912,経済,81,39,8,高,低,4402547,製造
0913,理,65,34,4,高,低,3010142,製造
0914,文,63,35,5,高,中,2509504,製造
0915,工,70,36,8,低,高,3951188,教育
0916,理,82,37,8,中,低,2872776,金融
0917,文,56,38,5,高,中,2434792,金融
0918,理,72,36,4,高,低,3123289,IT
0919,工,81,34,7,低,高,3992862,教育
0920,理,85,32,6,低,低,3187458,製造
0921,理,71,34,7,高,低,2914020,IT
0922,工,95,36,8,低,高,4071040,教育
0923,経済,97,41,9,高,低,4566524,IT
0924,工,87,35,6,低,高,4002692,製造
0925,文,55,35,8,中,中,2421469,IT
0926,理,90,39,7,中,低,3133872,IT
0927,工,90,37,8,中,高,3960585,製造
0928,理,67,38,5,高,低,2877398,金融
0929,理,80,30,8,高,低,2919483,製造
0930,工,95,35,9,中,高,3919959,教育
0931,理,66,39,5,高,低,2811357,IT
0932,経済,91,39,10,高,低,4452650,製造
0933,理,88,36,6,中,低,2914495,IT
0934,文,83,38,8,中,中,2491969,IT
0935,工,76,37,7,高,高,4071863,製造
0936,理,75,39,6,高,低,3185541,IT
0937,理,67,36,8,中,低,2925485,金融
0938,文,79,39,6,中,中,2557667,IT
0939,経済,97,42,9,中,低,4487873,教育
0940,理,99,36,4,高,低,2967509,製造
0941,工,86,34,6,中,高,4058808,IT
0942,工,70,33,7,低,高,3915869,IT
0943,工,80,34,7,低,高,3972890,教育
0944,工,73,35,8,低,高,4079758,金融
0945,理,66,33,9,中,低,2954098,IT
0946,理,97,36,6,低,低,3025483,製造
0947,工,87,37,7,低,高,4042431,製造
0948,工,82,37,6,中,高,4040290,製造
0949,理,87,39,7,中,低,2867571,製造
0950,文,61,38,5,高,中,2434056,IT
0951,工,88,33,6,低,高,4064999,IT
0952,工,93,33,8,低,高,4017599,製造
0953,理,99,31,5,低,低,2940933,製造
0954,理,62,38,5,低,低,2925154,IT
0955,経済,91,41,7,高,低,4510569,教育
0956,文,81,39,7,中,中,2529629,製造
0957,理,60,32,9,低,低,2945837,製造
0958,工,71,36,6,低,高,4099098,IT
0959,理,77,36,9,中,低,3058258,IT
0960,文,51,37,7,低,中,2531474,金融
0961,文,55,36,7,高,中,2536108,教育
0962,理,99,30,8,中,低,2836678,IT
0963,理,61,31,8,中,低,3081413,製造
0964,工,90,33,9,高,高,4011959,IT
0965,理,95,39,5,高,低,2981666,教育
0966,経済,98,38,10,高,低,4539064,教育
0967,経済,89,40,7,中,低,4501927,IT
0968,理,79,30,4,低,低,2807779,IT
0969,理,67,32,9,中,低,3063614,製造
0970,経済,88,38,9,高,低,4402359,IT
0971,工,86,37,9,高,高,3955795,金融
0972,理,99,34,9,高,低,3144845,金融
0973,経済,81,40,10,高,低,4529006,IT
0974,文,83,37,5,中,中,2488858,IT
0975,経済,86,40,7,低,低,4548050,金融
0976,理,78,39,8,高,低,2956594,製造
0977,文,86,35,7,高,中,2453645,IT
0978,経済,98,41,7,中,低,4518597,金融
0979,文,72,36,6,低,中,2490837,教育
0980,理,85,38,7,低,低,3113507,金融
0981,工,82,38,6,中,高,4055928,IT
0982,工,71,38,7,低,高,4023742,教育
0983,経済,99,42,7,低,低,4449264,金融
0984,工,72,35,9,高,高,3952508,教育
0985,文,85,38,8,高,中,2432343,IT
0986,経済,100,41,7,低,低,4494051,製造
0987,経済,89,38,9,低,低,4491861,製造
0988,理,82,30,7,中,低,3144013,金融
0989,理,62,30,4,高,低,2831272,製造
0990,経済,86,41,8,低,低,4545480,教育
0991,経済,96,40,9,高,低,4563461,金融
0992,工,70,35,6,中,高,4075988,金融
0993,文,87,35,5,高,中,2430834,IT
0994,工,90,36,7,高,高,3993018,IT
0995,理,91,31,5,低,低,2969000,金融
0996,経済,85,38,8,中,低,4590630,金融
0997,文,68,37,7,中,中,2558821,製造
0998,文,77,38,8,低,中,2483240,教育
0999,工,82,37,6,高,高,4066672,製造
1000,工,94,33,7,中,高,3964899,IT
1001,経済,94,40,7,低,低,4401784,金融
1002,経済,82,41,8,中,低,4549626,教育
1003,工,74,36,6,高,高,3997629,教育
1004,経済,92,38,8,高,低,4473616,製造
1005,文,90,35,7,低,中,2587445,製造
1006,工,83,38,9,低,高,4011288,金融
1007,工,90,35,6,中,高,4046180,金融
1008,理,73,38,5,低,低,2844332,製造
1009,理,98,31,4,高,低,2856376,金融
1010,経済,91,39,10,低,低,4544398,教育
1011,理,90,37,8,低,低,3068615,製造
1012,理,65,35,8,低,低,3162973,製造
1013,工,87,34,9,中,高,3900358,IT
1014,理,85,31,4,中,低,2973887,IT
1015,工,80,35,7,中,高,4069479,金融
1016,経済,85,39,8,低,低,4558547,IT
1017,経済,95,40,9,中,低,4464561,IT
1018,文,74,38,6,低,中,2498291,製造
1019,経済,80,42,8,中,低,4454456,IT
1020,文,55,37,5,高,中,2507803,製造
1021,文,53,39,7,低,中,2439594,金融
1022,理,90,33,8,高,低,3022420,金融
1023,理,78,37,7,高,低,3017455,教育
1024,理,90,34,4,低,低,3050158,金融
1025,理,75,40,4,低,低,3145307,教育
1026,工,83,33,8,中,高,4095354,教育
1027,理,65,32,7,高,低,2903927,IT
1028,工,79,34,6,低,高,3976383,IT
1029,理,90,32,4,高,低,3181654,IT
1030,工,79,34,8,低,高,3998088,IT
1031,文,68,37,7,低,中,2434343,製造
1032,文,71,36,5,中,中,2547435,IT
1033,理,61,31,5,低,低,2893532,製造
1034,経済,83,39,9,中,低,4409310,IT
1035,理,63,37,7,中,低,3064322,製造
1036,文,85,39,7,中,中,2562358,教育
1037,経済,93,41,8,高,低,4458635,教育
1038,文,62,37,7,低,中,2460107,IT
1039,工,81,37,9,中,高,4051109,金融
1040,文,72,37,7,中,中,2510559,IT
1041,工,90,38,7,中,高,4068639,教育
1042,経済,99,38,8,中,低,4425310,金融
1043,文,51,37,8,中,中,2469893,教育
1044,文,66,36,5,低,中,2446153,製造
1045,文,90,37,8,低,中,2484813,教育
1046,経済,90,42,9,低,低,4581912,製造
1047,理,100,38,6,高,低,2862410,金融
1048,工,82,37,8,中,高,4007331,教育
1049,工,71,33,9,中,高,4002753,教育
1050,理,62,39,9,高,低,3015188,教育
1051,工,79,35,9,高,高,4041354,金融
1052,文,89,36,6,高,中,2556737,IT
1053,理,95,40,5,高,低,2838168,製造
1054,理,63,37,7,低,低,3041065,製造
1055,工,86,35,8,低,高,3970260,IT
1056,理,82,30,5,中,低,2994502,製造
1057,工,81,38,7,低,高,4060471,教育
1058,文,79,36,8,中,中,2586575,IT
1059,文,82,39,6,高,中,2569010,IT
1060,経済,83,41,9,中,低,4583209,製造
1061,理,90,39,7,高,低,2881970,IT
1062,文,72,39,8,低,中,2499079,製造
1063,文,85,37,5,中,中,2431261,教育
1064,工,71,37,6,高,高,4077279,教育
1065,理,62,39,9,高,低,2816872,金融
1066,経済,98,39,8,高,低,4558512,IT
1067,経済,97,38,9,中,低,4520578,教育
1068,理,69,32,8,中,低,2927325,教育
1069,文,86,38,5,高,中,2459797,製造
1070,工,76,38,8,中,高,4093580,IT
1071,工,91,38,6,中,高,3967513,金融
1072,経済,80,38,9,高,低,4525005,金融
1073,理,66,34,4,中,低,2958626,IT
1074,経済,91,41,10,低,低,4419129,教育
1075,経済,95,42,10,高,低,4408699,製造
1076,経済,91,39,10,中,低,4481778,製造
1077,文,73,35,6,低,中,2403772,金融
1078,理,92,33,5,高,低,2847630,IT
1079,工,81,38,7,低,高,4037182,金融
1080,文,82,35,5,中,中,2591588,金融
1081,工,70,34,6,高,高,3943505,金融
1082,理,64,36,6,低,低,3143612,教育
1083,文,59,39,6,中,中,2416389,IT
1084,理,93,30,6,高,低,2889046,製造
1085,経済,95,42,9,低,低,4431448,教育
1086,理,89,31,9,中,低,2961405,製造
1087,経済,95,39,8,高,低,4484948,IT
1088,文,78,36,6,高,中,2451635,教育
1089,理,74,36,7,低,低,3015528,IT
1090,文,72,39,7,低,中,2490576,金融
1091,工,90,35,8,低,高,3980874,IT
1092,経済,94,40,9,高,低,4449837,金融
1093,工,92,35,6,高,高,4027853,教育
1094,経済,97,39,9,高,低,4584158,IT
1095,理,95,35,9,中,低,2822212,教育
1096,工,71,38,8,高,高,3907328,製造
1097,経済,90,40,8,高,低,4558668,金融
1098,文,64,39,5,低,中,2450651,製造
1099,経済,90,39,9,高,低,4597941,金融
1100,経済,85,40,10,高,低,4541328,IT
1101,文,59,37,7,高,中,2589877,製造
1102,文,63,40,6,中,中,2532234,金融
1103,理,72,34,7,高,低,3167037,教育
1104,文,86,37,8,中,中,2585106,金融
1105,経済,94,42,10,低,低,4547104,金融
1106,理,85,36,4,中,低,3152201,教育
1107,経済,87,39,9,中,低,4465778,教育
1108,経済,83,42,9,低,低,4510733,IT
1109,経済,88,41,8,中,低,4535295,教育
1110,理,97,40,5,低,低,3065330,金融
1111,工,81,36,8,低,高,4085159,IT
1112,文,68,39,7,低,中,2497128,金融
1113,工,79,37,6,低,高,4070565,金融
1114,文,55,38,6,低,中,2415298,金融
1115,経済,81,39,9,低,低,4462835,IT
1116,経済,95,39,10,低,低,4599531,製造
1117,経済,86,41,8,低,低,4457378,教育
1118,工,78,33,9,高,高,3932296,製造
1119,文,86,37,6,高,中,2560203,教育
1120,文,53,36,7,高,中,2410529,金融
1121,工,90,34,7,高,高,3916551,金融
1122,工,71,33,8,高,高,3977441,金融
1123,工,87,35,7,低,高,3938506,製造
1124,文,84,36,5,中,中,2419266,教育
1125,工,78,33,6,中,高,3987092,教育
1126,経済,95,41,7,中,低,4413901,製造
1127,工,73,37,9,中,高,4063804,製造
1128,理,86,40,9,中,低,3189231,製造
1129,文,69,35,5,高,中,2542952,教育
1130,工,85,34,6,中,高,3943851,製造
1131,理,94,35,8,中,低,3171696,金融
1132,文,87,38,6,低,中,2512328,製造
1133,工,82,34,9,中,高,3954938,IT
1134,文,89,37,5,低,中,2472168,教育
1135,経済,88,42,8,低,低,4520694,製造
1136,理,88,38,9,中,低,3179491,IT
1137,工,84,34,8,低,高,3943238,教育
1138,経済,99,39,10,中,低,4527165,製造
1139,経済,89,40,7,低,低,4507155,教育
1140,経済,98,39,8,中,低,4598840,金融
1141,経済,80,39,8,低,低,4423194,IT
1142,理,93,37,8,中,低,2870699,製造
1143,経済,91,39,10,高,低,4421403,金融
1144,理,76,40,8,低,低,3171933,金融
1145,工,71,36,6,中,高,4050349,金融
1146,経済,84,41,9,高,低,4538871,金融
1147,理,75,39,6,中,低,3073582,IT
1148,経済,83,39,7,高,低,4559318,金融
1149,理,63,31,6,中,低,3092306,IT
1150,経済,87,41,10,低,低,4462690,製造
1151,経済,91,42,8,中,低,4578348,金融
1152,工,79,36,7,中,高,4025735,IT
1153,経済,81,42,9,高,低,4483004,金融
1154,工,82,36,8,低,高,3960995,IT
1155,理,82,32,8,低,低,3171356,金融
1156,文,57,37,8,低,中,2508615,金融
1157,工,79,36,9,高,高,3925893,製造
1158,経済,84,40,7,低,低,4459823,金融
1159,経済,86,41,7,高,低,4534253,製造
1160,経済,99,38,9,中,低,4577506,IT
1161,文,74,36,6,中,中,2423910,教育
1162,理,73,36,4,中,低,3051405,製造
1163,理,60,35,7,高,低,3083509,金融
1164,工,81,35,8,低,高,3967222,金融
1165,理,63,33,6,低,低,3039026,金融
1166,文,60,36,5,中,中,2436713,教育
1167,理,85,32,9,低,低,2968065,IT
1168,理,65,30,6,高,低,3102557,IT
1169,文,56,38,8,高,中,2579801,製造
1170,理,66,30,7,高,低,3181629,IT
1171,理,69,36,9,低,低,3058512,教育
1172,経済,84,42,7,低,低,4483415,IT
1173,経済,89,38,10,中,低,4489868,IT
1174,文,60,39,7,中,中,2587745,教育
1175,文,72,40,6,中,中,2515704,IT
1176,文,61,36,5,高,中,2414829,IT
1177,文,53,36,5,低,中,2475333,金融
1178,理,85,36,5,高,低,3043736,金融
1179,理,73,30,5,低,低,3001954,教育
1180,工,80,37,8,高,高,4097799,教育
1181,経済,83,38,7,低,低,4525918,教育
1182,経済,87,41,8,低,低,4446591,教育
1183,理,76,34,7,低,低,2980715,IT
1184,経済,84,42,7,高,低,4404761,IT
1185,理,76,39,8,低,低,2995480,製造
1186,経済,84,39,9,低,低,4556298,金融
1187,工,90,33,9,低,高,3924881,金融
1188,経済,81,40,7,中,低,4489663,IT
1189,文,88,36,5,低,中,2594814,金融
1190,工,78,38,6,低,高,3937705,IT
1191,経済,90,42,8,高,低,4407972,金融
1192,理,93,39,4,高,低,3070954,製造
1193,文,84,35,6,低,中,2481300,金融
1194,理,79,34,4,低,低,2845800,教育
1195,経済,91,39,9,中,低,4490579,製造
1196,経済,92,38,7,低,低,4414619,金融
1197,理,85,30,9,低,低,3185687,IT
1198,文,73,35,7,高,中,2489646,教育
1199,理,63,35,7,中,低,3076250,IT
1200,経済,91,38,7,低,低,4400444,金融
1201,理,94,37,4,中,低,2924604,金融
1202,文,54,37,6,高,中,2443503,IT
1203,理,75,31,6,高,低,3117133,教育
1204,工,72,36,7,中,高,3996015,IT
1205,理,76,36,6,高,低,2969335,金融
1206,経済,90,42,9,高,低,4416561,IT
1207,理,69,31,7,中,低,2982683,教育
1208,文,53,35,6,低,中,2436167,IT
1209,文,57,38,8,高,中,2523160,製造
1210,経済,99,42,9,低,低,4482295,IT
1211,工,71,33,6,中,高,3933188,金融
1212,理,90,32,7,中,低,3039450,IT
1213,経済,80,41,9,中,低,4562921,教育
1214,文,84,40,6,中,中,2430036,教育
1215,経済,96,41,8,中,低,4508504,金融
1216,工,73,34,9,高,高,4035868,製造
1217,理,97,38,6,中,低,2820746,IT
1218,文,64,37,6,中,中,2491671,金融
1219,理,80,33,5,高,低,2801762,教育
1220,文,83,38,8,高,中,2516220,金融
1221,工,95,38,9,低,高,3960924,製造
1222,理,60,35,8,中,低,2855336,IT
1223,経済,82,40,9,高,低,4469359,教育
1224,理,95,36,6,低,低,2948969,IT
1225,経済,99,39,7,高,低,4511256,教育
1226,理,93,35,4,中,低,2957548,製造
1227,工,81,36,8,低,高,4077268,IT
1228,理,95,35,4,中,低,2828756,金融
1229,理,89,32,9,低,低,3000310,IT
1230,文,69,35,6,高,中,2473814,金融
1231,理,98,37,8,低,低,2895002,IT
1232,工,70,33,9,中,高,3908685,製造
1233,工,79,38,7,中,高,3962597,IT
1234,文,58,37,7,高,中,2567008,IT
1235,文,83,36,7,高,中,2404130,教育
1236,理,90,39,7,高,低,2930853,IT
1237,文,58,35,8,高,中,2567441,製造
1238,文,57,39,8,中,中,2452990,製造
1239,理,77,38,9,中,低,3029332,教育
1240,理,70,32,9,中,低,2802219,教育
1241,文,86,35,5,低,中,2420935,IT
1242,経済,83,42,9,高,低,4416480,教育
1243,工,71,33,8,高,高,4008111,教育
1244,文,79,37,6,高,中,2587502,IT
1245,経済,80,42,9,高,低,4537917,IT
1246,経済,92,40,10,中,低,4467296,教育
1247,経済,87,41,7,高,低,4487818,金融
1248,工,82,38,7,低,高,3973924,製造
1249,理,84,39,4,中,低,3134964,教育
1250,文,58,36,5,低,中,2529196,金融
1251,文,77,38,7,低,中,2407262,金融
